[07/Dec/2015 21:39:20] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 21:39:26] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:39:26] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:39:32] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:39:32] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:39:36] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:39:36] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:39:50] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:39:50] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:42:07] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:42:31] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:42:41] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:45:12] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:46:44] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:47:44] INFO [django.db.backends:21] Mongodb connected
[07/Dec/2015 21:47:44] INFO [django.db.backends:29] Requesting main page
[07/Dec/2015 21:47:47] INFO [django.db.backends:34] Requesting index page
[07/Dec/2015 21:47:54] INFO [django.db.backends:40] Requesting search page
[07/Dec/2015 21:47:54] INFO [django.db.backends:74] rendering search results
[07/Dec/2015 21:47:56] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 21:47:56] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 21:48:00] INFO [django.db.backends:89] Requesting comments page
[07/Dec/2015 21:48:00] INFO [django.db.backends:91] Adding Comments
[07/Dec/2015 21:48:00] INFO [django.db.backends:98] Displaying updated document
[07/Dec/2015 21:48:03] INFO [django.db.backends:34] Requesting index page
